property_id,title,property_type,location_name,city,state,price_inr,area_sqft,bedrooms,bathrooms,furnishing_status,latitude,longitude,listing_type
1,3 BHK Villa in Patancheru,Villa,Patancheru,Hyderabad,Telangana,15293000,1978,3,2,Unfurnished,17.541507,78.280739,New Launch
2,3 BHK Apartment in Tellapur,Apartment,Tellapur,Hyderabad,Telangana,17223000,1656,3,2,Furnished,17.462841,78.300394,Resale
3,4 BHK Apartment in Madhapur,Apartment,Madhapur,Hyderabad,Telangana,37789000,2804,4,4,Semi-Furnished,17.434965,78.387276,Resale
4,2 BHK Apartment in Kukatpally,Apartment,Kukatpally,Hyderabad,Telangana,9275000,1229,2,1,Furnished,17.480718,78.406301,Resale
5,2 BHK House in Madhapur,House,Madhapur,Hyderabad,Telangana,14184000,1213,2,1,Unfurnished,17.434758,78.379048,Sale
6,1 BHK Apartment in Kokapet,Apartment,Kokapet,Hyderabad,Telangana,10137000,776,1,1,Furnished,17.399403,78.342577,New Launch
7,Plot in Gachibowli,Plot,Gachibowli,Hyderabad,Telangana,77661000,4472,0,0,NA,17.438207,78.362194,Sale
8,1 BHK Apartment in Banjara Hills,Apartment,Banjara Hills,Hyderabad,Telangana,8389000,689,1,1,Unfurnished,17.406142,78.438082,New Launch
9,1 BHK Apartment in Jubilee Hills,Apartment,Jubilee Hills,Hyderabad,Telangana,9221000,853,1,1,Unfurnished,17.435965,78.412247,New Launch
10,3 BHK Apartment in Maheshwaram,Apartment,Maheshwaram,Hyderabad,Telangana,5737000,1591,3,3,Unfurnished,17.132074,78.431643,New Launch
11,Plot in Narsingi,Plot,Narsingi,Hyderabad,Telangana,30710000,4067,0,0,NA,17.389942,78.358103,Sale
12,1 BHK House in Financial District,House,Financial District,Hyderabad,Telangana,10757000,728,1,1,Unfurnished,17.414123,78.331038,Sale
13,3 BHK Villa in Miyapur,Villa,Miyapur,Hyderabad,Telangana,22527000,1684,3,2,Unfurnished,17.4889,78.351607,New Launch
14,2 BHK Villa in Medchal,Villa,Medchal,Hyderabad,Telangana,4887000,931,2,1,Unfurnished,17.622596,78.479421,New Launch
15,4 BHK House in Tellapur,House,Tellapur,Hyderabad,Telangana,17922000,2204,4,5,Furnished,17.467196,78.305233,Sale
16,Plot in Kukatpally,Plot,Kukatpally,Hyderabad,Telangana,21521000,2437,0,0,NA,17.477928,78.411074,Resale
17,Plot in Kukatpally,Plot,Kukatpally,Hyderabad,Telangana,26863000,2778,0,0,NA,17.495365,78.393027,Sale
18,3 BHK Villa in Miyapur,Villa,Miyapur,Hyderabad,Telangana,17439000,1830,3,2,Furnished,17.505057,78.366686,Resale
19,Plot in Kukatpally,Plot,Kukatpally,Hyderabad,Telangana,33314000,4373,0,0,NA,17.494856,78.421238,Sale
20,2 BHK Villa in Nallagandla,Villa,Nallagandla,Hyderabad,Telangana,15706000,1297,2,1,Semi-Furnished,17.479704,78.305075,Sale
21,2 BHK House in Manikonda,House,Manikonda,Hyderabad,Telangana,16918000,1349,2,2,Furnished,17.402182,78.394137,New Launch
22,2 BHK House in Banjara Hills,House,Banjara Hills,Hyderabad,Telangana,14774000,921,2,1,Semi-Furnished,17.412263,78.419715,Resale
23,1 BHK Apartment in Miyapur,Apartment,Miyapur,Hyderabad,Telangana,5977000,631,1,1,Unfurnished,17.506757,78.350864,Sale
24,3 BHK Apartment in Adibatla,Apartment,Adibatla,Hyderabad,Telangana,10203000,2078,3,2,Unfurnished,17.241101,78.544556,New Launch
25,4 BHK Apartment in Nallagandla,Apartment,Nallagandla,Hyderabad,Telangana,27994000,3818,4,4,Unfurnished,17.457152,78.308838,Resale
26,Plot in Banjara Hills,Plot,Banjara Hills,Hyderabad,Telangana,18241000,1466,0,0,NA,17.423513,78.448027,Sale
27,Plot in Miyapur,Plot,Miyapur,Hyderabad,Telangana,35140000,3843,0,0,NA,17.498638,78.373866,New Launch
28,2 BHK Apartment in Gachibowli,Apartment,Gachibowli,Hyderabad,Telangana,18423000,1266,2,1,Furnished,17.450269,78.358813,Sale
29,2 BHK House in Manikonda,House,Manikonda,Hyderabad,Telangana,12231000,993,2,2,Furnished,17.394295,78.376234,Sale
30,1 BHK Apartment in Nallagandla,Apartment,Nallagandla,Hyderabad,Telangana,6449000,706,1,1,Unfurnished,17.481613,78.307586,New Launch
31,Plot in Shamirpet,Plot,Shamirpet,Hyderabad,Telangana,15365000,2588,0,0,NA,17.5986,78.565019,New Launch
32,2 BHK Apartment in Miyapur,Apartment,Miyapur,Hyderabad,Telangana,9632000,1349,2,1,Unfurnished,17.483169,78.346979,Resale
33,1 BHK House in Madhapur,House,Madhapur,Hyderabad,Telangana,11138000,731,1,1,Furnished,17.435989,78.391253,New Launch
34,3 BHK Apartment in Nallagandla,Apartment,Nallagandla,Hyderabad,Telangana,15998000,1918,3,2,Semi-Furnished,17.481857,78.31757,Sale
35,2 BHK Apartment in Kokapet,Apartment,Kokapet,Hyderabad,Telangana,18872000,1208,2,2,Furnished,17.404761,78.340252,Resale
36,Plot in Shamirpet,Plot,Shamirpet,Hyderabad,Telangana,25895000,4588,0,0,NA,17.610352,78.575555,Sale
37,2 BHK Apartment in Adibatla,Apartment,Adibatla,Hyderabad,Telangana,5246000,1385,2,1,Unfurnished,17.220033,78.551405,Resale
38,3 BHK Apartment in HITEC City,Apartment,HITEC City,Hyderabad,Telangana,28065000,1758,3,3,Furnished,17.441001,78.369381,New Launch
39,2 BHK Villa in Adibatla,Villa,Adibatla,Hyderabad,Telangana,7910000,1186,2,2,Semi-Furnished,17.231949,78.551033,New Launch
40,2 BHK Apartment in Gachibowli,Apartment,Gachibowli,Hyderabad,Telangana,14551000,962,2,1,Furnished,17.442863,78.337444,Resale
41,3 BHK Apartment in Kondapur,Apartment,Kondapur,Hyderabad,Telangana,13673000,2101,3,3,Unfurnished,17.458071,78.363525,New Launch
42,4 BHK Apartment in Kukatpally,Apartment,Kukatpally,Hyderabad,Telangana,37870000,3539,4,4,Furnished,17.490156,78.405664,Resale
43,3 BHK Apartment in Banjara Hills,Apartment,Banjara Hills,Hyderabad,Telangana,29891000,1673,3,2,Unfurnished,17.413931,78.438054,Resale
44,2 BHK Villa in Shadnagar,Villa,Shadnagar,Hyderabad,Telangana,4329000,1066,2,2,Unfurnished,17.057584,78.216862,Resale
45,Plot in Madhapur,Plot,Madhapur,Hyderabad,Telangana,79358000,4871,0,0,NA,17.453957,78.402759,Sale
46,3 BHK Apartment in Kondapur,Apartment,Kondapur,Hyderabad,Telangana,13489000,1587,3,3,Furnished,17.467783,78.371595,Sale
47,2 BHK Apartment in Financial District,Apartment,Financial District,Hyderabad,Telangana,12159000,1095,2,2,Unfurnished,17.401948,78.356633,New Launch
48,4 BHK Apartment in Patancheru,Apartment,Patancheru,Hyderabad,Telangana,25005000,4153,4,3,Unfurnished,17.520668,78.2623,New Launch
49,2 BHK Apartment in Banjara Hills,Apartment,Banjara Hills,Hyderabad,Telangana,16936000,1093,2,1,Furnished,17.422804,78.437864,Sale
50,3 BHK Apartment in Adibatla,Apartment,Adibatla,Hyderabad,Telangana,11225000,1866,3,3,Semi-Furnished,17.238728,78.53638,Sale
51,2 BHK Apartment in Tukkuguda,Apartment,Tukkuguda,Hyderabad,Telangana,4563000,1205,2,1,Unfurnished,17.205428,78.497152,Resale
52,4 BHK Apartment in Banjara Hills,Apartment,Banjara Hills,Hyderabad,Telangana,54843000,3761,4,3,Unfurnished,17.415424,78.43738,Resale
53,3 BHK House in Manikonda,House,Manikonda,Hyderabad,Telangana,21950000,1865,3,3,Semi-Furnished,17.397328,78.383397,Resale
54,Plot in Maheshwaram,Plot,Maheshwaram,Hyderabad,Telangana,7598000,2406,0,0,NA,17.14353,78.421254,Resale
55,3 BHK Apartment in Nallagandla,Apartment,Nallagandla,Hyderabad,Telangana,14919000,1574,3,3,Semi-Furnished,17.458865,78.327714,Sale
56,4 BHK Apartment in Tukkuguda,Apartment,Tukkuguda,Hyderabad,Telangana,13574000,2957,4,4,Furnished,17.196055,78.495337,Resale
57,Plot in Gachibowli,Plot,Gachibowli,Hyderabad,Telangana,32860000,2799,0,0,NA,17.439823,78.359317,Resale
58,3 BHK Apartment in Miyapur,Apartment,Miyapur,Hyderabad,Telangana,16463000,1949,3,3,Unfurnished,17.485483,78.34897,Sale
59,2 BHK Apartment in Adibatla,Apartment,Adibatla,Hyderabad,Telangana,3482000,1107,2,1,Unfurnished,17.234711,78.539457,New Launch
60,3 BHK Apartment in Shadnagar,Apartment,Shadnagar,Hyderabad,Telangana,8887000,2180,3,3,Furnished,17.068009,78.19874,New Launch
61,2 BHK Apartment in Banjara Hills,Apartment,Banjara Hills,Hyderabad,Telangana,22977000,1352,2,1,Unfurnished,17.417566,78.435526,New Launch
62,1 BHK Apartment in Kukatpally,Apartment,Kukatpally,Hyderabad,Telangana,5172000,774,1,1,Semi-Furnished,17.498131,78.395757,Sale
63,Plot in Kondapur,Plot,Kondapur,Hyderabad,Telangana,23913000,2538,0,0,NA,17.475772,78.363674,Sale
64,3 BHK Apartment in Medchal,Apartment,Medchal,Hyderabad,Telangana,9157000,2134,3,2,Furnished,17.640535,78.48415,Resale
65,3 BHK Apartment in Madhapur,Apartment,Madhapur,Hyderabad,Telangana,21258000,1712,3,2,Furnished,17.443275,78.393183,Resale
66,Plot in Narsingi,Plot,Narsingi,Hyderabad,Telangana,34792000,3978,0,0,NA,17.396576,78.365063,Resale
67,2 BHK Apartment in Tellapur,Apartment,Tellapur,Hyderabad,Telangana,7268000,1007,2,1,Furnished,17.460095,78.28846,New Launch
68,3 BHK Apartment in Kukatpally,Apartment,Kukatpally,Hyderabad,Telangana,12151000,1444,3,3,Unfurnished,17.496604,78.403117,Sale
69,3 BHK Apartment in Narsingi,Apartment,Narsingi,Hyderabad,Telangana,16446000,1909,3,2,Furnished,17.392659,78.343452,New Launch
70,3 BHK Apartment in HITEC City,Apartment,HITEC City,Hyderabad,Telangana,24805000,2117,3,3,Unfurnished,17.453278,78.370743,Sale
71,2 BHK Villa in Kondapur,Villa,Kondapur,Hyderabad,Telangana,16507000,1261,2,1,Semi-Furnished,17.44968,78.362404,Resale
72,3 BHK House in Nallagandla,House,Nallagandla,Hyderabad,Telangana,23929000,1955,3,3,Furnished,17.470247,78.326997,Resale
73,4 BHK House in Kukatpally,House,Kukatpally,Hyderabad,Telangana,36869000,3846,4,3,Semi-Furnished,17.481501,78.402721,New Launch
74,3 BHK House in Shadnagar,House,Shadnagar,Hyderabad,Telangana,9829000,1946,3,2,Unfurnished,17.077906,78.204543,Sale
75,3 BHK Apartment in Kondapur,Apartment,Kondapur,Hyderabad,Telangana,9046000,1421,3,2,Unfurnished,17.449063,78.359782,New Launch
76,3 BHK Apartment in Kukatpally,Apartment,Kukatpally,Hyderabad,Telangana,14291000,2184,3,3,Semi-Furnished,17.471746,78.395756,New Launch
77,3 BHK House in Kukatpally,House,Kukatpally,Hyderabad,Telangana,18151000,1918,3,3,Unfurnished,17.482048,78.400494,Resale
78,2 BHK House in Patancheru,House,Patancheru,Hyderabad,Telangana,7877000,1026,2,1,Furnished,17.542139,78.263192,New Launch
79,Plot in Kukatpally,Plot,Kukatpally,Hyderabad,Telangana,19877000,2658,0,0,NA,17.476236,78.402837,Sale
80,3 BHK Apartment in Miyapur,Apartment,Miyapur,Hyderabad,Telangana,11965000,1491,3,2,Furnished,17.506029,78.371937,New Launch
81,2 BHK Apartment in Adibatla,Apartment,Adibatla,Hyderabad,Telangana,3217000,905,2,1,Semi-Furnished,17.217963,78.525843,New Launch
82,2 BHK Apartment in Maheshwaram,Apartment,Maheshwaram,Hyderabad,Telangana,5228000,909,2,2,Semi-Furnished,17.139082,78.438624,Sale
83,3 BHK Apartment in Madhapur,Apartment,Madhapur,Hyderabad,Telangana,20665000,2037,3,3,Unfurnished,17.43935,78.382906,Sale
84,2 BHK Villa in Banjara Hills,Villa,Banjara Hills,Hyderabad,Telangana,27188000,1240,2,2,Semi-Furnished,17.421126,78.432937,Sale
85,2 BHK Apartment in Kondapur,Apartment,Kondapur,Hyderabad,Telangana,8474000,1233,2,1,Furnished,17.469997,78.356279,Resale
86,3 BHK Apartment in HITEC City,Apartment,HITEC City,Hyderabad,Telangana,35286000,1885,3,3,Semi-Furnished,17.455637,78.376232,Resale
87,3 BHK Apartment in Tellapur,Apartment,Tellapur,Hyderabad,Telangana,12724000,1829,3,3,Unfurnished,17.457049,78.304221,New Launch
88,4 BHK Apartment in Shamshabad,Apartment,Shamshabad,Hyderabad,Telangana,14864000,3164,4,3,Semi-Furnished,17.252534,78.435771,New Launch
89,2 BHK Apartment in Jubilee Hills,Apartment,Jubilee Hills,Hyderabad,Telangana,21235000,1189,2,1,Furnished,17.43173,78.392481,Sale
90,1 BHK Apartment in Shadnagar,Apartment,Shadnagar,Hyderabad,Telangana,4004000,758,1,1,Semi-Furnished,17.057819,78.22256,New Launch
